city,state,population
New York,New York,8461961
Los Angeles,California,3918872
Chicago,Illinois,2714017
Houston,Texas,2240582
Philadelphia,Pennsylvania,1559938
Phoenix,Arizona,1555324
San Antonio,Texas,1439358
San Diego,California,1374812
Dallas,Texas,1278433
San Jose,California,1009363
Austin,Texas,907779
Jacksonville,Florida,856616
San Francisco,California,850282
Indianapolis,Indiana,846674
Columbus,Ohio,837038
Fort Worth,Texas,815930
Charlotte,North Carolina,808834
Detroit,Michigan,683443
El Paso,Texas,678058
Seattle,Washington,668849
Denver,Colorado,663303
Washington,District of Columbia,659009
Boston,Massachusetts,658279
Memphis,Tennessee,655857
Nashville-Davidson,Tennessee,643771
Baltimore,Maryland,621000
Portland,Oregon,620589
Oklahoma City,Oklahoma,620015
Las Vegas,Nevada,613295
Louisville/Jefferson County,Kentucky,611573
Milwaukee,Wisconsin,598672
Albuquerque,New Mexico,556859
Tucson,Arizona,527586
Fresno,California,513807
Sacramento,California,484530
Kansas City,Missouri,471767
Mesa,Arizona,470456
Long Beach,California,469793
Atlanta,Georgia,456378
Virginia Beach,Virginia,449733
Colorado Springs,Colorado,448759
Omaha,Nebraska,443072
Raleigh,North Carolina,441326
Miami,Florida,432622
Oakland,California,412040
Minneapolis,Minnesota,404670
Tulsa,Oklahoma,399906
Cleveland,Ohio,389165
Wichita,Kansas,388033
Arlington,Texas,383899
New Orleans,Louisiana,382922
Bakersfield,California,367555
Tampa,Florida,361477
Aurora,Colorado,351131
San Juan,Puerto Rico,350402
Honolulu,Hawaii,349597
Anaheim,California,346776
Santa Ana,California,333605
Corpus Christi,Texas,320050
Riverside,California,318678
St. Louis,Missouri,316030
Lexington-Fayette,Kentucky,311529
Pittsburgh,Pennsylvania,305305
Stockton,California,301443
Anchorage,Alaska,299321
Cincinnati,Ohio,298011
St. Paul,Minnesota,297160
Greensboro,North Carolina,282177
Toledo,Ohio,280854
Newark,New Jersey,280139
Plano,Texas,279088
Henderson,Nevada,277872
Lincoln,Nebraska,273018
Orlando,Florida,263306
Jersey City,New Jersey,261666
Fort Wayne,Indiana,260954
Chula Vista,California,260598
Buffalo,New York,258989
St. Petersburg,Florida,253585
Durham,North Carolina,251761
Laredo,Texas,251671
Irvine,California,246992
Madison,Wisconsin,246034
Norfolk,Virginia,245724
Lubbock,Texas,244507
Chandler,Arizona,242131
Glendale,Arizona,239943
Winston-Salem,North Carolina,238474
Reno,Nevada,237121
Hialeah,Florida,235626
Garland,Texas,234810
Scottsdale,Arizona,234495
Chesapeake,Virginia,233194
Irving,Texas,232013
North Las Vegas,Nevada,230436
Paradise,Nevada,229666
Baton Rouge,Louisiana,228694
Fremont,California,227934
Gilbert,Arizona,226832
Arlington,Virginia,226092
Boise City,Idaho,218677
Richmond,Virginia,216773
San Bernardino,California,214581
Des Moines,Iowa,212859
Birmingham,Alabama,212424
Spokane,Washington,212078
Rochester,New York,210291
Modesto,California,208512
Tacoma,Washington,205602
Fontana,California,205228
Oxnard,California,204752
Fayetteville,North Carolina,203670
Moreno Valley,California,202061
Montgomery,Alabama,201717
Aurora,Illinois,200907
Columbus,Georgia,200303
Yonkers,New York,199725
Huntington Beach,California,198724
Shreveport,Louisiana,198571
Akron,Ohio,198508
Glendale,California,197895
Little Rock,Arkansas,197640
Amarillo,Texas,197570
Augusta-Richmond County,Georgia,196784
Grand Rapids,Michigan,193887
Mobile,Alabama,193717
Sunrise Manor,Nevada,192873
Salt Lake City,Utah,191446
Spring Valley,Nevada,190661
Huntsville,Alabama,188973
Tallahassee,Florida,188466
Grand Prairie,Texas,185631
Knoxville,Tennessee,183927
Overland Park,Kansas,183775
Worcester,Massachusetts,183677
Brownsville,Texas,182110
Newport News,Virginia,181606
Santa Clarita,California,180303
Providence,Rhode Island,178851
Port St. Lucie,Florida,175652
Chattanooga,Tennessee,175462
Fort Lauderdale,Florida,175153
Tempe,Arizona,174708
Garden Grove,California,174676
Oceanside,California,173829
Bayamon,Puerto Rico,173550
Rancho Cucamonga,California,173309
Santa Rosa,California,173165
Jackson,Mississippi,172039
Cape Coral,Florida,170063
Vancouver,Washington,169982
Ontario,California,169389
Sioux Falls,South Dakota,167884
Springfield,Missouri,165138
Pembroke Pines,Florida,164753
Elk Grove,California,163634
Salem,Oregon,161975
Eugene,Oregon,161649
Corona,California,161614
Lancaster,California,159651
Peoria,Arizona,158677
Fort Collins,Colorado,157251
Palmdale,California,156823
McKinney,Texas,156821
Salinas,California,155889
Cary,North Carolina,155822
Hayward,California,154507
Springfield,Massachusetts,153991
Macon-Bibb County,Georgia,153925
Pasadena,Texas,153286
Pomona,California,151807
Alexandria,Virginia,151473
Escondido,California,149912
Lakewood,Colorado,149793
Kansas City,Kansas,149755
Rockford,Illinois,149597
Sunnyvale,California,149596
Hollywood,Florida,148114
Carolina,Puerto Rico,147806
Joliet,Illinois,147515
Torrance,California,147307
Bridgeport,Connecticut,147022
Paterson,New Jersey,146894
Clarksville,Tennessee,146281
Naperville,Illinois,145789
Frisco,Texas,145646
Metairie,Louisiana,144772
Savannah,Georgia,144717
Syracuse,New York,144350
Mesquite,Texas,143771
Dayton,Ohio,141143
Pasadena,California,140268
Orange,California,139919
Fullerton,California,139491
Killeen,Texas,138745
McAllen,Texas,138475
Hampton,Virginia,136789
Bellevue,Washington,136718
Warren,Michigan,135069
West Valley City,Utah,134609
Miramar,Florida,133741
Olathe,Kansas,132787
Columbia,South Carolina,132537
Sterling Heights,Michigan,131674
Waco,Texas,130659
Thornton,Colorado,130511
New Haven,Connecticut,130405
Charleston,South Carolina,129888
Enterprise,Nevada,129620
Cedar Rapids,Iowa,129537
Carrollton,Texas,129266
Visalia,California,128738
Thousand Oaks,California,128623
Gainesville,Florida,128610
Denton,Texas,128421
Roseville,California,128276
Midland,Texas,128051
Elizabeth,New Jersey,128042
Coral Springs,Florida,127673
Surprise,Arizona,127492
Topeka,Kansas,127472
Stamford,Connecticut,127410
Concord,California,126938
Simi Valley,California,126126
Lafayette,Louisiana,125808
Kent,Washington,125492
Hartford,Connecticut,124320
East Los Angeles,California,124191
Ponce,Puerto Rico,123328
Santa Clara,California,122725
Abilene,Texas,122612
Murfreesboro,Tennessee,122007
Victorville,California,121320
Athens-Clarke County,Georgia,120813
Evansville,Indiana,120156
Vallejo,California,119644
Allentown,Pennsylvania,119624
Norman,Oklahoma,118974
Berkeley,California,118585
Ann Arbor,Michigan,118087
Beaumont,Texas,117729
Independence,Missouri,117217
Columbia,Missouri,117165
Springfield,Illinois,116745
Peoria,Illinois,115990
Fargo,North Dakota,115950
Provo,Utah,115718
El Monte,California,115665
Lansing,Michigan,114773
Odessa,Texas,114258
Wilmington,North Carolina,113724
Arvada,Colorado,113532
Downey,California,113223
Round Rock,Texas,112767
Miami Gardens,Florida,112514
Costa Mesa,California,112439
Lehigh Acres,Florida,112279
Carlsbad,California,112008
Elgin,Illinois,111919
Westminster,Colorado,111770
Clearwater,Florida,111747
Rochester,Minnesota,111396
Inglewood,California,111012
Fairfield,California,110953
West Jordan,Utah,110928
Manchester,New Hampshire,110231
Gresham,Oregon,110042
Lowell,Massachusetts,109871
Brandon,Florida,109784
Waterbury,Connecticut,109211
Billings,Montana,109089
San Buenaventura (Ventura),California,109067
High Point,North Carolina,108982
Temecula,California,108965
Cambridge,Massachusetts,108757
Antioch,California,108675
Murrieta,California,108583
