iter	RMSE
0	507.1306053
1	490.0305036
2	474.3633221
3	461.1778379
4	449.1054356
5	438.7168873
6	429.4407308
7	421.1018951
8	413.6290505
9	407.0295532
10	401.0826513
11	395.3837933
12	390.7088986
13	386.3690164
14	382.634398
15	378.7771366
16	375.3559585
17	372.337103
18	369.6381483
19	367.3934948
20	364.9876115
21	363.0259063
22	361.117361
23	359.1535934
24	357.2802301
25	355.7160846
26	354.1312262
27	352.4519625
28	350.9342698
29	349.7479436
30	348.5068677
31	347.2847376
32	345.809326
33	344.6750724
34	343.4847404
35	342.3588079
36	341.2945202
37	340.486974
38	339.6263999
39	338.7437468
40	337.9628556
41	336.9936402
42	336.1770156
43	335.5115336
44	334.6915168
45	334.0187587
46	333.3202656
47	332.595924
48	332.1941022
49	331.4773361
50	330.7261171
51	330.011658
52	329.4741661
53	328.9358896
54	328.4794792
55	327.7394454
56	327.3130804
57	326.4907392
58	326.0940594
59	325.3101448
60	324.9377552
61	324.3768912
62	323.9638351
63	323.2235343
64	322.670647
65	322.2337122
66	321.6573742
67	321.3331535
68	320.8161732
69	320.232227
70	319.7093505
71	319.1643822
72	318.7555277
73	318.208546
74	317.4585204
75	317.1064992
76	316.8829233
77	316.3355339
78	315.8533316
79	315.6189305
80	315.0908904
81	314.7028129
82	314.2722984
83	313.7554546
84	313.4006779
85	313.1195363
86	312.8844722
87	312.479813
88	312.2467686
89	312.0706194
90	311.5747858
91	311.1611901
92	310.9418174
93	310.6883624
94	310.3319389
95	309.865066
96	309.6191091
97	309.305737
98	309.0332548
99	308.7429675
100	308.4689547
101	308.1982056
102	308.0300261
103	307.6489192
104	307.435123
105	307.2224711
106	306.9105715
107	306.5443738
108	306.233467
109	305.9908378
110	305.599168
111	305.4098224
112	305.1291774
113	304.929876
114	304.7651961
115	304.5274774
116	304.3501729
117	303.9721104
118	303.7716827
119	303.507181
120	303.2582973
121	303.0492047
122	302.7323258
123	302.52095
124	302.4005466
125	301.9441754
126	301.769645
127	301.3973562
128	301.1175166
129	301.0284202
130	300.8767699
131	300.7156116
132	300.4399185
133	300.1244349
134	300.0022387
135	299.8079062
136	299.3717626
137	299.1713682
138	298.840202
139	298.5823924
140	298.3158875
141	298.0717238
142	297.8273271
143	297.5096576
144	297.4012637
145	297.2029829
146	296.9441036
147	296.7360801
148	296.386511
149	296.2133191
150	296.0877887
151	295.7859233
152	295.4598223
153	295.2280876
154	295.1137555
155	294.834011
156	294.6771756
157	294.377823
158	293.9742371
159	293.7573355
160	293.5266947
161	293.2601127
162	293.1017527
163	292.8160241
164	292.5893095
165	292.3467595
166	292.1157469
167	291.8582379
168	291.7498242
169	291.5662676
170	291.3678558
171	291.1661136
172	290.9053076
173	290.7234171
174	290.5401426
175	290.4002639
176	290.1276969
177	289.9425337
178	289.7041907
179	289.5676105
180	289.2378103
181	289.0007869
182	288.8520537
183	288.578863
184	288.2714365
185	288.114839
186	287.8485971
187	287.6829008
188	287.4937598
189	287.3366232
190	287.224516
191	286.9658871
192	286.7672353
193	286.6584086
194	286.5291616
195	286.3327595
196	286.0349005
197	285.8688016
198	285.7603793
199	285.6482994
200	285.4481667
201	285.312733
202	285.1436086
203	285.0174642
204	284.8738012
205	284.6545154
206	284.4628555
207	284.2376422
208	284.0620513
209	283.8600731
210	283.7416038
211	283.5827753
212	283.4619598
213	283.308646
214	283.1983554
215	283.0865019
216	282.9791503
217	282.8658515
218	282.7013953
219	282.6186899
220	282.5127927
221	282.4558663
222	282.3474839
223	282.1870502
224	282.0672452
225	281.9566846
226	281.8695838
227	281.7054463
228	281.5711606
229	281.47442
230	281.2199237
231	281.0384804
232	280.8427789
233	280.6696497
234	280.4979009
235	280.3954156
236	280.2046708
237	280.1174458
238	280.0094492
239	279.8716794
240	279.7580694
241	279.6831488
242	279.578541
243	279.4578113
244	279.3600635
245	279.2437058
246	279.144796
247	279.0206732
248	278.8511288
249	278.7143595
250	278.5959621
251	278.4639125
252	278.3195489
253	278.2524131
254	278.130578
255	277.9600626
256	277.6785812
257	277.5634632
258	277.4068242
259	277.2921287
260	277.1498731
261	277.0421665
262	276.8998343
263	276.7212474
264	276.5840342
265	276.3734641
266	276.2545991
267	276.0844381
268	275.9292344
269	275.760884
270	275.6194594
271	275.5351469
272	275.3979233
273	275.2719463
274	275.1727039
275	275.0299701
276	274.9514812
277	274.8501245
278	274.7906528
279	274.6366771
280	274.5461732
281	274.4793506
282	274.2753792
283	274.1593751
284	274.0711375
285	273.9866961
286	273.9115616
287	273.8176887
288	273.7517176
289	273.6128496
290	273.518945
291	273.4433915
292	273.3253475
293	273.2244765
294	273.1386119
295	273.0500915
296	272.9137929
297	272.8569042
298	272.6709577
299	272.5719572
300	272.4496113
301	272.2710248
302	272.0511534
303	271.9507985
304	271.8878646
305	271.759762
306	271.6872509
307	271.618684
308	271.5250314
309	271.4374141
310	271.3253275
311	271.2616102
312	271.1890935
313	271.1050361
314	271.0338505
315	270.8779835
316	270.8027423
317	270.647109
318	270.5172028
319	270.4227932
320	270.2385542
321	270.0637568
322	269.979126
323	269.8291087
324	269.7450568
325	269.6252809
326	269.5131592
327	269.3531169
328	269.2616371
329	269.1974822
330	269.1257842
331	269.0008702
332	268.9015811
333	268.8259746
334	268.7512309
335	268.659514
336	268.5970172
337	268.4838712
338	268.4457232
339	268.3661791
340	268.3071905
341	268.2396919
342	268.1685465
343	267.9759529
344	267.9059962
345	267.8076173
346	267.6860559
347	267.6373266
348	267.5391243
349	267.4027372
350	267.3281504
351	267.2612366
352	267.1687958
353	267.0927843
354	267.0465232
355	266.9792386
356	266.8661274
357	266.7851302
358	266.6891054
359	266.6394538
360	266.5585554
361	266.4779885
362	266.4190015
363	266.3071759
364	266.2019625
365	266.152997
366	266.0285367
367	265.925491
368	265.7839084
369	265.6830003
370	265.583087
371	265.5283548
372	265.4379744
373	265.4002894
374	265.3642324
375	265.2268239
376	265.1269524
377	265.0553746
378	264.9730708
379	264.9218823
380	264.8574829
381	264.7426076
382	264.6341807
383	264.546203
384	264.4882406
385	264.3627258
386	264.2828084
387	264.1924379
388	264.1297507
389	264.0598562
390	263.9873123
391	263.8650647
392	263.8048671
393	263.7273924
394	263.6460711
395	263.5227531
396	263.4277884
397	263.3077497
398	263.2263382
399	263.1787608
400	263.1091868
401	263.0121421
402	262.9362236
403	262.8708001
404	262.820864
405	262.7638078
406	262.6866456
407	262.6277757
408	262.5289573
409	262.4802228
410	262.39621
411	262.3528002
412	262.3130872
413	262.2048314
414	262.140729
415	262.0901215
416	262.0008511
417	261.9444434
418	261.8814849
419	261.8361287
420	261.753104
421	261.6972491
422	261.6489516
423	261.5699694
424	261.4225131
425	261.3311265
426	261.2569062
427	261.1955126
428	261.1172109
429	261.0559478
430	260.9994965
431	260.876595
432	260.8395748
433	260.7666224
434	260.7101958
435	260.6729506
436	260.5933523
437	260.4443726
438	260.3689587
439	260.2659199
440	260.1781317
441	260.1202247
442	260.0734558
443	260.0018762
444	259.9412695
445	259.8982972
446	259.8416998
447	259.768755
448	259.7052723
449	259.6065782
450	259.5297596
451	259.4681823
452	259.4240539
453	259.3711351
454	259.3121522
455	259.208383
456	259.1165971
457	259.0476235
458	258.9943457
459	258.9437101
460	258.8919343
461	258.8357526
462	258.7605701
463	258.6847636
464	258.5795098
465	258.5384652
466	258.4708483
