iter	Passed	Remaining
0	167	167387
1	185	92507
2	203	67526
3	222	55465
4	245	48846
5	266	44156
6	289	41088
7	313	38817
8	333	36694
9	354	35071
10	373	33578
11	395	32602
12	414	31484
13	435	30646
14	456	29994
15	480	29548
16	501	28976
17	523	28542
18	543	28073
19	562	27546
20	579	27010
21	596	26517
22	613	26040
23	630	25629
24	647	25247
25	664	24891
26	679	24496
27	696	24162
28	711	23830
29	727	23509
30	743	23237
31	760	22994
32	777	22796
33	796	22620
34	813	22424
35	829	22203
36	845	22002
37	861	21803
38	879	21680
39	897	21549
40	915	21414
41	931	21242
42	949	21142
43	976	21222
44	998	21180
45	1014	21048
46	1031	20911
47	1049	20812
48	1065	20672
49	1081	20557
50	1114	20743
51	1134	20673
52	1153	20604
53	1173	20553
54	1191	20478
55	1211	20428
56	1230	20356
57	1246	20251
58	1282	20446
59	1312	20566
60	1342	20670
61	1408	21310
62	1489	22157
63	1526	22320
64	1621	23328
65	1662	23533
66	1692	23571
67	1722	23610
68	1743	23522
69	1789	23778
70	1820	23818
71	1853	23888
72	1878	23855
73	1905	23842
74	1938	23905
75	1959	23819
76	1979	23724
77	2001	23658
78	2021	23569
79	2042	23483
80	2067	23453
81	2091	23410
82	2112	23340
83	2132	23257
84	2151	23164
85	2172	23093
86	2198	23076
87	2218	22991
88	2252	23052
89	2272	22975
90	2295	22934
91	2315	22854
92	2335	22778
93	2355	22704
94	2376	22643
95	2399	22596
96	2418	22516
97	2437	22436
98	2465	22437
99	2483	22350
100	2500	22258
101	2516	22159
102	2533	22065
103	2550	21975
104	2568	21889
105	2586	21813
106	2601	21712
107	2616	21608
108	2632	21518
109	2648	21424
110	2663	21334
111	2680	21251
112	2694	21153
113	2710	21062
114	2725	20973
115	2739	20878
116	2761	20838
117	2779	20774
118	2794	20689
119	2810	20609
120	2825	20524
121	2839	20436
122	2853	20342
123	2868	20261
124	2884	20192
125	2901	20127
126	2923	20093
127	2945	20063
128	2978	20110
129	2996	20053
130	3025	20068
131	3044	20018
132	3061	19955
133	3079	19899
134	3095	19834
135	3115	19790
136	3135	19751
137	3153	19700
138	3171	19644
139	3190	19600
140	3208	19549
141	3225	19490
142	3243	19438
143	3261	19388
144	3278	19329
145	3292	19259
146	3310	19209
147	3328	19160
148	3351	19139
149	3367	19085
150	3385	19033
151	3402	18983
152	3419	18932
153	3436	18880
154	3454	18829
155	3472	18786
156	3488	18730
157	3505	18681
158	3523	18638
159	3542	18597
160	3559	18549
161	3577	18507
162	3592	18445
163	3608	18392
164	3622	18334
165	3640	18289
166	3657	18241
167	3675	18202
168	3691	18150
169	3707	18101
170	3725	18058
